id,origen,destino,razon_viaje,transporte_utilizado,num_transbordos,tiempo_llegada,hora_inicio,hora_llegada,frecuencia_viaje,razon_transporte,costo_viaje,nivel_confort,satisfaccion_transporte,considera_otro_transporte,edad,genero,ocupacion,ingreso_mensual,vehiculos_hogar,factores_importantes,cambios_viaje,mejoras_transporte,acompanamiento,gasto_mensual_transporte,seguridad_trayecto
2024-09-27 16:23:35.854,carr. tijuana-ensenada. colinas del mar cp 22760,cicese,Estudio,Autobús,1,10,07:00:00,07:10:00,Diariamente,Costo,6,3,3,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",26,Masculino,Estudiante,Más de 16 mil,0,"Tiempo, Costo, Seguridad, Comodidad",No,Mayor frecuencia.,Solo,360,2
2024-09-27 16:33:37.836,placido mata las fincas ,unam,Estudio,Autobús,1,30-40 minutos,08:00:00,08:40:00,Diariamente,Es la única opción,6 pesos,2,2,"Transporte privado (Didi, Uber, Indriver etc. )",24,Masculino,Estudiante,14 mil - 16 mil,0,"Tiempo, Comodidad",Caminar más aunque tarde tiempo,Camiones más grandes,Solo,Entre 240 y 300,3
2024-09-27 16:33:57.157,"carretera transpeninsular, por la cochinita de calle emili abreu",uabc_sauzal,Estudio,Autobús,0,1 hora y 20 minutos,09:00:00,10:10:00,3 veces por semana,Costo,7 pesos,1,1,Ninguno,24,Masculino,Estudiante,10 mil - 12 mil,1,Costo,No,Mejores unidades de transporte y conductores de gobierno que no sean privados,Sólo ,300 pesos,4
2024-09-27 16:46:05.599,buena_vista_(zorrillo),uabc_sauzal,Estudio,A pie,2,60,09:00:00,10:00:00,Diariamente,Costo,0-13,1,2,"Transporte privado (Didi, Uber, Indriver etc. )",22,Masculino,Estudiante,8 mil - 10 mil,1,"Tiempo, Costo","Antes prefería viajar en transporte público pero ya es injustificable el precio con lo que te ofrecen. Por eso, prefiero viajar a pie.","Transportes más grandes, en lugar de transportes para estudiantes de primaria de USA.",Solo,100,3
2024-09-27 16:53:22.306,sauzal,cicese,Estudio,Autobús,0,6 minutos ,07:50:00,07:56:00,Diariamente,Es la única opción,$6,2,2,"Transporte privado (Didi, Uber, Indriver etc. )",22,Femenino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad, Comodidad, Limpieza",No,"Seguridad, Limpieza, Eficiencia en tiempo",Sola,~$300,2
2024-09-27 17:17:12.756,centro,unam,Estudio,Autobús,0,20 minutos,08:30:00,09:00:00,Diariamente,Es la única opción,6 pesos aunque a veces nos obligan a pagar 7 e incluso tarifa completa a pesar de la credencial de estudiante,1,1,Ninguno ya que no es opción ,33,Masculino,Estudiante,Más de 16 mil,0,"Tiempo, Seguridad",,"Renovación de transportes, mayor claridad en las rutas y paradas, claridad en precios y derechos de descuento de estudiante, más frecuencia en unidades en rutas en conexión con cicese/UNAM/uabc",Solo,300,1
2024-09-27 17:19:07.231,valle_verde,cicese,Estudio,Autobús,2,50 minutos mínimo ,08:45:00,10:00:00,Diariamente,Es la única opción,13,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",33,Femenino,Estudiante,Más de 16 mil,1,Tiempo,No ,Calidad en las unidades y mejor sincronización en los horarios. Pasan al mismo tiempo y tardan mucho en volver a pasar. Debería haber un espaciado adecuado entre cada unidad ,Sola,1000,3
2024-09-27 17:32:35.110,valle_dorado,centro,Trabajo,Autobús,0,20 min,13:00:00,13:30:00,3 veces por semana,Costo,6 pesos,2,2,"Transporte privado (Didi, Uber, Indriver etc. )",20,Femenino,Estudiante,8 mil - 10 mil,1,"Tiempo, Costo, Seguridad","Si, debido a que las paradas me queda lejos de mi hogar",Horarios más frecuentes y comodidad,Sola,1000,3
2024-09-27 17:52:05.406,sauzal,cicese,Estudio,Autobús,0,15,08:00:00,08:15:00,3 veces por semana,Es la única opción,6,3,3,"Transporte privado (Didi, Uber, Indriver etc. )",33,Femenino,Estudiante,Más de 16 mil,0,"Tiempo, Costo, Seguridad, Comodidad",No,Mejores horarios por la tarde/noche ,Solo,200,3
2024-09-27 17:56:04.397,autozone 10,uabc_sauzal,Estudio,Automóvil,1,15 minutos,08:25:00,08:40:00,Diariamente,Es la única opción,7 pesos,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",24,Masculino,Estudiante,menos de 8 mil,0,Costo,No,Vehiculos mas modernos,Solo,240,2
2024-09-27 17:57:56.696,uabc_sauzal,"calle once con reforma, walmart",Estudio,Automóvil,0,15 min,08:00:00,08:15:00,3 veces por semana,Es la única opción,60 pesos gasolina (aprox),5,2,Publico!,31,Masculino,Estudiante,Más de 16 mil,1,"Tiempo, Costo, Seguridad, Comodidad",Usar vehiculo. Por falta de transporte público.,Horario más amplio y frecuencia. ,pareja,1,3
2024-09-27 18:04:22.589,centro,cicese,Estudio,Automóvil,0,15 minutos,08:00:00,08:15:00,Diariamente,Comodidad,0,5,5,"Transporte privado (Didi, Uber, Indriver etc. )",31,Masculino,Estudiante,Más de 16 mil,1,"Tiempo, Seguridad, Comodidad",No,"Mayor comodidad, buenas instalaciones, mayor capacidad.","Acompañado, esposa.",2000,3
2024-09-27 18:06:15.184,moderna,unam,Estudio,Autobús,0,25 minutos,09:00:00,09:25:00,Diariamente,Es la única opción debido al elevado costo a la semana del uso de Uber/didi/taxi,10,1,1,"Transporte privado (Didi, Uber, Indriver etc. )",29,Femenino,Estudiante,8 mil - 10 mil,0,Costo,No,Seguridad en todos los aspectos,Solo,700,1
2024-09-27 18:12:27.699,valle_dorado,"3152'07.5""n 11639'53.5""w",Estudio,Autobús,1,45 minutos,10:50:00,11:40:00,3 veces por semana,Es la única opción,7 mxn,3,3,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",23,Masculino,Estudiante,menos de 8 mil,1,Tiempo,No,Mas unidades y mejor mantenimiento de las mismas,Solo,168 mxn,3
2024-09-27 18:12:34.045,valle_dorado,"3152'07.5""n 11639'53.5""w",Estudio,Autobús,1,45 minutos,10:50:00,11:40:00,3 veces por semana,Es la única opción,7 mxn,3,3,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",23,Masculino,Estudiante,menos de 8 mil,1,Tiempo,No,Mas unidades y mejor mantenimiento de las mismas,Solo,168 mxn,3
2024-09-27 18:14:30.413,autozone ,cicese,Estudio,Autobús,2,20 min ,08:30:00,09:00:00,Diariamente,Es la única opción,60,1,1,"Transporte privado (Didi, Uber, Indriver etc. )",23,Femenino,Estudiante,12 mil - 14 mil,0,"Tiempo, Costo, Seguridad, Comodidad","Si, utilizo Didi o Uber, porque viajar en micro es incómodo y tardado ","Limpieza, comodidad y compromiso ",Solo,800,3
